Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Northern Ireland
Areal series, starting in 1836
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1930  120.1   24.8   73.5   51.9   50.5   60.9  112.3  190.0   92.0  160.5  118.9  108.6   348.5   175.9   363.2   371.5  1164.1
1931  106.1   96.8   46.1   81.6  110.0  138.6  118.4   81.5   67.2   71.3  160.6   88.8   311.5   237.7   338.5   299.1  1167.0
1932  106.9    5.0   65.9   92.8   74.3   42.9  123.8   68.9  101.1  106.3   73.8  150.3   200.8   233.1   235.6   281.2  1012.1
1933   81.3   89.2   70.9   44.6   69.6   71.0   83.4   63.8   20.0   86.2   43.5   61.4   320.7   185.2   218.2   149.7   784.9
1934  105.2   11.1   68.0   83.4   85.5   53.3   66.2  144.2  160.7  140.9   35.4  158.3   177.7   236.9   263.7   337.0  1112.2
1935   53.1  115.8   39.7   80.3   30.2  117.2   35.2   66.1  131.1  145.1  134.7   96.7   327.2   150.2   218.6   410.9  1045.2
1936  127.1   61.9   70.1   27.4   46.1   82.3  183.3   72.8  126.5   91.7  118.3  115.1   285.6   143.6   338.4   336.5  1122.5
1937  155.3  135.6   74.6   70.1   46.0   59.0  117.8   95.0   80.7   61.3   48.5   91.1   406.0   190.7   271.7   190.5  1034.9
1938  132.9   53.2   51.5    7.9   85.1  115.4  139.5   70.3   79.2  183.2  159.7  121.9   277.1   144.5   325.1   422.2  1199.8
1939  111.3   88.0  101.5   62.5   31.0   67.0  129.1   47.6   67.3   78.9  153.9   91.8   321.3   195.1   243.7   300.2  1030.1
1940  104.4   85.9  127.1  111.2   35.6   38.5  123.3   31.2   83.7  135.4  136.6  134.9   282.1   273.9   193.0   355.7  1147.8
1941   67.0   94.1   98.7   53.7   60.0   15.0   98.8  118.5   34.5  128.1  137.8   60.3   296.0   212.4   232.3   300.5   966.6
1942  175.9   56.0   93.2   61.3  101.2   14.4  117.4  152.0  141.6  100.9   28.4  136.9   292.3   255.8   283.8   270.9  1179.3
1943  139.1   72.7   37.3   68.9  104.4   93.4   60.2  171.4   82.4  101.9   90.4   75.2   348.7   210.6   325.0   274.7  1097.2
1944  119.4   37.9   23.9   62.5   57.4   81.3  102.0   88.0  145.8  136.4  150.9  131.6   232.5   143.8   271.2   433.1  1137.0
1945   97.8   99.5   44.2   48.8  116.3  118.5  119.5   46.0   90.3  111.7   27.7  110.0   328.9   209.3   284.0   229.7  1030.3
1946  125.3   81.4   46.6   28.6   33.0   96.2  107.0  145.4  181.0   40.7  124.1  131.1   316.7   108.2   348.6   345.8  1140.4
1947  109.1   35.5  141.0  105.0  105.5  107.3  115.9   12.6   82.6   58.7  148.4   80.2   275.7   351.4   235.7   289.7  1101.7
1948  173.8   67.5   72.9   60.9   50.3  100.7   85.4  108.3  109.4   91.2   79.8  163.5   321.5   184.0   294.4   280.4  1163.6
1949   92.4   77.1   68.0   80.8   59.2   30.6   69.2   88.0   69.5  145.4  103.8  147.2   333.0   208.0   187.8   318.7  1031.2
1950   65.2   99.0   54.7  121.1   37.9   63.8  163.6  154.3  197.1  102.5   87.1  100.8   311.5   213.7   381.8   386.6  1247.1
1951   97.0   95.6   81.5   51.9   54.4   68.5   93.8  130.6   75.5   34.8  170.9  134.5   293.4   187.8   292.8   281.2  1088.8
1952  136.8   39.0   51.8   43.4   41.6   71.8   50.2  132.2   58.1  124.2   81.1  115.9   310.3   136.7   254.3   263.4   946.1
1953   38.6   39.6   16.1   55.8   60.2   51.6  138.3  100.0   94.9   63.7  101.5   92.5   194.1   132.0   290.0   260.1   852.8
1954   86.1  117.8   98.3   24.1  110.9   78.1  115.4   82.9  131.8  164.5  150.7  136.0   296.4   233.4   276.4   447.0  1296.7
1955  110.7   98.7   32.3   70.6   83.2  119.0   39.0   31.9  107.6   78.2   72.2  132.4   345.4   186.1   189.8   258.0   975.8
1956   93.9   43.8   52.1   38.3   38.7   90.1  122.1  179.3  100.5   80.3   66.1  138.5   270.1   129.2   391.5   246.9  1043.8
1957  131.8   78.6   91.7   38.9   54.2   47.2  126.8  122.3  134.2  103.7   43.0  141.3   348.9   184.7   296.2   280.9  1113.6
1958  114.8  116.0   49.5   44.8   78.8  147.5  134.5  130.0  114.9   80.6   56.6  136.2   372.1   173.1   412.0   252.2  1204.3
1959   69.7   31.9   84.4   86.6   36.7   62.6   96.9   34.1   44.3  127.1  124.8  166.6   237.8   207.6   193.6   296.1   965.5
1960  109.2  100.3   67.1   75.1   59.0   74.0  164.8  133.9   81.2  122.0  111.2   96.5   376.1   201.2   372.7   314.4  1194.2
1961  117.4  105.7   38.2  143.8   71.8   50.8   72.8   94.6  115.6  124.7   71.0   95.6   319.6   253.8   218.2   311.4  1102.0
1962  120.9   58.2   65.5   55.7   70.1   48.1   61.4  122.5  178.0   49.5   74.5  119.2   274.7   191.3   232.0   302.0  1023.6
1963   38.6   64.1  114.5   73.5   92.7   99.0   73.6  106.9   84.6  127.8  180.5   28.9   221.9   280.7   279.5   392.9  1084.7
1964   54.5   37.9   90.0   62.0   64.8   78.5   55.6  112.0   89.4  139.3   87.2  128.3   121.3   216.8   246.0   315.9   999.5
1965  135.2   15.1   97.8   85.8   75.6  100.7   85.2  105.7  110.1   85.7  119.3  150.0   278.6   259.2   291.6   315.0  1166.1
1966   73.0  161.1   94.7   98.2   96.0  123.9   56.4   74.6   79.7  124.7  108.6  175.0   384.1   288.9   254.9   313.0  1265.9
1967   88.0   90.3   92.2   54.9  121.3   41.3   88.5  105.1  144.8  165.3   97.9  111.2   353.3   268.4   234.9   408.0  1200.9
1968  131.2   43.2   85.5   61.5   78.8   75.3   40.6   78.4  142.5  149.1  100.9   91.3   285.6   225.9   194.3   392.5  1078.4
1969  134.4   82.5   47.0   72.0  105.2   83.7   48.9   60.2   40.3   62.3  139.6  118.5   308.2   224.2   192.7   242.2   994.5
1970  108.0  130.4   86.5   88.3   36.7   60.4   93.7  109.8  126.4  120.2  137.6   43.4   356.8   211.5   263.9   384.2  1141.3
1971   80.8   79.0   50.2   87.0   64.7   94.1   68.8  108.5   39.9   62.6  129.1   34.0   203.1   201.8   271.5   231.6   898.7
1972  130.9   79.2  114.0   84.8  117.1   90.1   73.4   60.0   14.3   55.8  117.7   99.0   244.1   315.9   223.5   187.8  1036.3
1973  116.7   81.8   33.4   58.6   82.6   44.2   81.8   98.9   76.3   58.5  115.6  113.0   297.5   174.7   224.9   250.5   961.6
1974  163.1  101.8   56.3   27.9   81.3   49.6   95.7   82.6  152.6   71.3  112.6  123.7   378.0   165.5   228.0   336.5  1118.7
1975  157.4   35.3   60.3   66.5   20.5   31.5   73.8   54.5  125.3   91.6   83.1   40.8   316.4   147.3   159.8   300.0   840.5
1976  132.6   55.3   84.6   33.1  117.3   58.9   64.7   17.5  118.5  188.1   72.2  102.4   228.7   235.0   141.0   378.8  1045.1
1977  107.2  161.5   85.5   79.5   28.8   54.3   54.2   93.7   74.0  105.1  127.1  102.6   371.0   193.9   202.2   306.2  1073.5
