Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland W
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1896  101.9   98.2  186.6   80.5   24.9  116.3  148.6   97.9  159.8  119.4   71.1  190.9   361.8   292.0   362.8   350.2  1396.0
1897   48.9  116.9  185.7   87.4   78.3  155.3   96.3  180.7  134.3   87.1  123.6  221.4   356.7   351.3   432.3   345.0  1515.8
1898  130.7  163.7   69.5  112.6   81.9   91.2   50.9  174.9  163.9  124.5  171.4  245.9   515.8   264.0   317.0   459.8  1581.0
1899  192.3   99.9  128.2  137.1  103.9   65.3  114.9   58.3  163.0  132.7  190.2  149.9   538.2   369.2   238.5   485.9  1535.7
1900  205.1  106.1   16.5  105.4  119.3  108.1  106.7  152.5  137.5  190.4  167.8  269.2   461.2   241.3   367.3   495.7  1684.7
1901  107.1   60.8   81.1  119.1   54.1  113.8   52.7  155.0  127.2  176.2  143.2  166.3   437.1   254.2   321.5   446.5  1356.4
1902  142.2   58.3  120.9   69.6   83.4   51.3  104.0  100.1  128.8  104.9  129.4  172.6   366.8   273.9   255.4   363.0  1265.5
1903  222.6  219.9  265.0   60.4   86.7   67.9  142.1  221.3  122.0  300.3  134.0  138.3   615.1   412.0   431.2   556.2  1980.3
1904  157.6  127.7   94.9  166.3  101.6   79.7  100.0  163.2  134.0  104.5  116.9  145.3   423.6   362.8   342.9   355.4  1491.7
1905  114.5  122.0  163.5   96.3   70.8   51.4   97.9  152.9  108.6  127.6  157.6  133.3   381.7   330.6   302.1   393.8  1396.1
1906  190.4  114.6  111.0   63.9  154.8   47.6  104.8  164.5   73.6  210.5  145.3  157.7   438.2   329.7   316.9   429.5  1538.7
1907  108.4  125.6  149.6   91.1  135.4  153.6   87.9  190.4   51.5  188.0  136.8  185.1   391.6   376.1   431.9   376.3  1603.3
1908  171.3  127.4  167.5   59.8   90.5   93.0  116.6  133.0  195.2   55.9  128.6  168.3   483.9   317.8   342.6   379.8  1507.2
1909  173.2   94.9   82.4  122.0   86.2   80.4  150.1  101.1   74.8  244.5   92.3  180.6   436.4   290.6   331.6   411.5  1482.4
1910  157.7  207.9   96.9  134.2   83.5   58.3  134.6  226.2   53.6   85.3  128.5  176.5   546.2   314.7   419.1   267.4  1543.4
1911  118.6  209.4   58.3  132.0   95.7   85.8   99.7  109.8   89.6  120.0  199.0  272.2   504.6   286.0   295.3   408.5  1590.0
1912  146.1  118.6  176.5   76.5   59.2  163.3   93.9  128.4   92.2  162.8  156.9  302.3   536.8   312.2   385.6   411.8  1676.5
1913  164.0  112.8  184.8  133.7  122.9  108.0   32.2   57.3   80.2  112.2  212.1  152.2   579.1   441.4   197.5   404.5  1472.5
1914  138.2  212.5  170.4  108.5   73.3   41.5   84.9  146.7   81.6   66.4  194.7  238.3   502.9   352.1   273.1   342.7  1556.8
1915  149.6  214.0   90.2  118.1   35.3   48.7  132.5   82.2   45.2   92.0   79.6  200.7   601.9   243.7   263.4   216.8  1288.2
1916  221.2  171.8   51.8  123.5  135.5   69.1  107.1  116.0   65.6  243.4  181.9  166.0   593.7   310.8   292.1   490.9  1652.8
1917   88.5   39.7   80.4   70.2  105.0   90.5   55.5  167.0  122.7  277.8  251.0  107.0   294.2   255.6   313.0   651.6  1455.3
1918  162.6  218.8   55.6   33.3   83.2   60.0  115.0  128.8  198.9  221.7  184.2  195.3   488.3   172.1   303.8   604.8  1657.3
1919  143.6   30.4  119.8  100.7   36.7  131.9   40.4  117.4  142.6   57.8  136.5  260.3   369.3   257.2   289.7   336.9  1318.1
1920  219.7  204.6  170.1   85.2  172.7   71.8  130.8  148.0  104.7  100.5  157.9  152.1   684.5   427.9   350.7   363.1  1718.0
1921  278.0   53.3  232.2   55.5   95.7   28.2  139.4  180.1   85.3  154.7   99.4  260.7   483.4   383.4   347.7   339.4  1662.5
1922  171.4  173.9   70.5   92.9  138.6   88.4  129.4  113.7   89.5   82.8  116.5  159.0   606.0   302.1   331.5   288.9  1426.7
1923  181.7  179.8   72.5  110.8   77.8   69.1  152.6  226.2  223.4  241.4  163.8  180.7   520.5   261.1   447.9   628.6  1879.8
1924  170.2   49.4   29.0   96.3  128.2   92.0  153.5  149.4  190.5  120.1  125.5  241.5   400.3   253.5   394.8   436.1  1545.5
1925  157.6  157.3   71.0  171.3  201.1   31.2   76.5  122.8  116.0  154.3   53.3  140.4   556.4   443.4   230.5   323.6  1452.8
1926  231.8  167.5  129.1   80.5   97.7   93.7  114.2  145.5  130.4  184.2  206.9  102.6   539.7   307.3   353.4   521.5  1684.0
1927  224.3  101.6  128.6  120.9   87.7  137.8  122.2  161.6  193.0  182.4  172.9   41.0   428.6   337.2   421.6   548.2  1673.9
1928  342.2  159.9  157.8   72.5   44.4  161.3  115.8  165.1  116.6  253.9  237.0  176.1   543.1   274.7   442.2   607.5  2002.7
1929   67.2   69.0   36.0   52.5  119.8   98.5  131.2  197.2   65.3  219.3  240.4  349.6   312.3   208.4   427.0   525.0  1646.2
1930  238.2   12.4  100.8   64.7   68.4   96.1  107.9  216.8  117.7  253.3  197.7  177.0   600.2   234.0   420.8   568.7  1651.1
1931  176.0  155.9   37.3   73.7  112.2  176.1  140.9   65.2   55.5  137.5  266.3  175.9   509.0   223.3   382.2   459.4  1572.6
1932  260.2    3.3   95.1  137.8   86.1   53.8  142.2   80.6  162.8  222.8  153.3  260.6   439.5   318.9   276.5   538.9  1658.6
1933  169.7  139.9   97.1   92.7   84.0   82.6  138.2  124.9   36.5  119.6   81.2   58.4   570.3   273.7   345.7   237.3  1224.8
1934  224.9   32.1   94.6  114.0  117.0   75.9   94.4  158.3  203.8  255.6   54.5  245.1   315.4   325.7   328.6   513.9  1670.2
1935  100.9  194.9   73.3  108.0   24.2  128.9   76.5   97.4  202.8  298.8  176.2  118.2   540.9   205.4   302.8   677.9  1600.2
1936  145.5   85.2  100.0   42.7   67.3   75.4  168.2  106.1  132.4  182.4  141.2  233.9   348.9   210.0   349.7   456.0  1480.4
1937  219.8  168.5   51.9   81.9   63.1  105.5  151.9  106.5  117.3  107.8   38.3   95.3   622.3   196.9   363.9   263.5  1308.0
1938  245.4  115.3  151.9   23.9  118.7  187.1  166.7   96.6  146.9  298.3  294.4  155.0   456.1   294.5   450.4   739.6  2000.3
1939  138.9  205.8  131.2   75.2   35.9   82.2  176.4   63.5   90.9   84.2  262.3   99.5   499.7   242.3   322.0   437.3  1445.8
1940   76.2   69.9  154.2   85.9   50.0   38.4  138.9   85.7  145.9  185.1  209.0  208.1   245.7   290.0   263.0   540.0  1447.2
1941   30.3  126.6   84.5   66.5   84.8   35.4  109.3  177.6   74.5  155.1  146.5  106.5   365.0   235.8   322.3   376.1  1197.6
1942  200.1   70.2  102.1   78.7  101.2   61.8  129.9  181.2  200.6  204.7   49.1  244.8   376.8   282.0   372.9   454.4  1624.5
1943  192.1  170.5   82.3  130.3  117.1  134.4   89.9  204.7  129.4  288.6  117.7  107.3   607.4   329.8   428.9   535.7  1764.3
1944  192.2   67.5   36.9   98.4  108.7  126.5  105.1  113.8  164.8  175.8  229.5  194.5   367.0   244.0   345.5   570.1  1613.7
1945  124.2  225.3  114.5   71.2  135.1  134.9  110.2   62.7  179.0  162.5   21.9  146.6   543.9   320.8   307.8   363.4  1488.1
1946  216.9  117.3   90.9   62.4   32.4  116.2  136.2  127.1  218.7   19.6  203.5  176.9   480.8   185.7   379.4   441.7  1517.8
1947  163.9   18.4  121.1  209.5  122.3  124.3  131.8    2.8  164.6   76.7  231.7   92.6   359.2   452.9   259.0   473.1  1459.9
1948  237.3  148.3  143.1  104.6   50.5  153.7  127.9  199.3  219.6  216.4  137.2  222.8   478.2   298.2   480.8   573.1  1960.7
1949  183.6  169.0   86.3  181.2   74.8   40.9   72.1  147.9   77.7  212.0  197.2  295.6   575.5   342.2   260.9   486.9  1738.3
1950  127.2  160.8  119.1  130.5   56.6   99.1  175.1  193.1  319.9  168.7  130.8   75.6   583.6   306.3   467.3   619.4  1756.6
1951  180.4  111.7  113.2  102.5   52.3   64.7  116.8  171.8  136.3   52.8  248.6  269.8   367.7   268.0   353.3   437.7  1620.9
1952  167.3   63.7  112.0   78.4   62.9  108.9  106.5  153.4  106.0  163.1   85.3  169.6   500.8   253.4   368.9   354.4  1377.2
1953   95.7   81.0   42.5   88.4   90.5   47.1  188.8  134.5  193.7  129.2  257.2  165.5   346.3   221.3   370.3   580.1  1514.0
1954  169.2  135.8  118.6   58.1  113.0  130.2  131.2  151.6  224.3  292.6  268.1  241.7   470.5   289.7   413.0   784.9  2034.3
1955  110.1   90.8   55.9  102.8  107.4  102.7   45.4   49.5  154.5  132.3   83.0  230.3   442.5   266.1   197.6   369.8  1264.6
1956  122.9   54.6   80.2   52.0   94.0   98.2  165.0  190.2  146.2  120.7   94.5  221.1   407.8   226.2   453.5   361.4  1439.8
1957  218.4  117.0  152.6   72.9   73.4   73.9  149.4  148.7  120.7  180.5   77.6  185.0   556.5   298.9   371.9   378.8  1570.0
1958  182.6  115.4   44.3   65.4  111.4   95.0  134.6  155.5  147.7  152.9   70.5  175.1   483.0   221.1   385.1   371.0  1450.3
1959   68.8   66.0  115.2  116.7   45.2  100.9  168.3   52.8   56.3  190.0  204.2  260.0   309.9   277.1   322.0   450.4  1444.3
1960  131.6  154.8   66.7  143.8   77.2   85.3  134.6  124.9  102.7  103.2  217.4  192.3   546.4   287.8   344.7   423.3  1534.5
1961  152.9  165.1  103.7  139.1   71.8   82.3  129.3  209.3  200.4  232.7  138.1  120.1   510.3   314.6   420.9   571.2  1744.7
1962  291.9  147.6   60.1   92.2   77.8   92.5   90.8  236.9  214.2   92.7   98.3  173.4   559.6   230.1   420.2   405.2  1668.4
1963   21.4   34.2  216.5  107.2  145.6   97.0   94.4  134.6  138.9  193.2  230.6   58.5   228.9   469.2   326.0   562.6  1471.8
1964   86.2   45.1   67.7  113.4  130.0  102.9  117.1  156.8  181.3  134.6  157.9  211.0   189.7   311.1   376.7   473.8  1503.7
1965  191.7   30.6  102.5  124.1   98.5  150.3  125.7  152.4  177.3  164.2   89.3  208.8   433.3   325.0   428.4   430.8  1615.3
1966  101.3  154.9  149.9   87.2  126.3  129.0   63.0  111.0  161.3  121.0  158.2  256.3   465.0   363.4   303.0   440.5  1619.4
1967  133.7  159.9  185.8   85.7  149.6   87.2  142.4  101.3  171.5  298.9  135.3  131.0   549.9   421.1   330.9   605.7  1782.3
1968  164.1   78.4  175.0   69.0  101.2   65.2   95.7   89.1  180.8  235.9  114.6   85.0   373.4   345.1   250.0   531.3  1453.9
1969  142.6   62.9   31.8   66.0   97.7  104.1  102.0   84.4  110.3  145.6  200.9  151.8   290.5   195.5   290.5   456.8  1300.1
1970  130.3  157.6   91.8  118.0   81.9   80.4  166.8  108.9  199.7  223.8  215.2   92.3   439.7   291.7   356.2   638.7  1666.7
1971  132.3  131.9   94.7   61.9   76.3   74.5   86.7  124.1   66.3  194.2  154.1  117.9   356.5   232.9   285.3   414.6  1314.9
1972  179.0  106.1   93.1  180.1  142.8  151.0   75.3   82.5   26.8   84.5  195.9  174.7   403.1   415.9   308.8   307.2  1491.8
1973  142.5  130.1   84.6   79.8  103.1   98.8   86.1  123.8   95.5   81.7  168.4  207.6   447.4   267.6   308.6   345.7  1402.1
1974  316.3  149.2   77.5   11.0   85.3   79.3  120.2  122.5  188.4   82.2  226.2  280.4   673.0   173.8   322.0   496.8  1738.5
1975  319.6   63.6   56.9   94.8   36.5   70.1  120.6   80.0  212.4  118.2  170.1   89.8   663.6   188.3   270.8   500.7  1432.7
1976  215.3  113.4  154.8   76.2  161.6   89.9   73.4   23.5  125.7  189.2  183.5  110.7   418.5   392.5   186.8   498.5  1517.1
1977  124.5  145.7  166.2  140.6   64.4   57.4   70.2  125.0  207.5  246.5  208.3  120.5   381.0   371.2   252.6   662.3  1676.9
1978  177.7  102.3  217.1   31.1   20.7   71.7   95.4  110.7  239.7  113.4  235.3  144.9   400.5   268.9   277.8   588.4  1559.9
1979  139.9   43.5  192.7   92.9   80.6   68.4  108.9  170.0  158.3  189.3  266.6  210.2   328.3   366.2   347.2   614.2  1721.2
1980  113.1  128.6  121.6   13.2   26.5  156.5  141.0  169.6  247.6  201.2  172.7  269.4   451.9   161.3   467.1   621.5  1761.0
1981  198.2  109.0  184.7   35.4  110.0  118.7  111.7   57.6  274.5  225.0  252.6   69.9   576.6   330.1   288.1   752.1  1747.4
1982  185.8  150.6  182.4   44.6   96.6   90.3   50.7  169.8  226.0  211.6  270.7  249.9   406.3   323.5   310.7   708.3  1928.9
1983  259.4   59.3  190.3   65.2  112.1   85.2   54.3   49.3  179.8  308.4   54.5  229.9   568.6   367.6   188.8   542.7  1647.6
1984  258.0  131.9   83.4   60.0   18.0   76.6   55.1   67.9  181.0  261.1  238.9  191.8   619.7   161.4   199.5   681.0  1623.6
1985   71.0   50.9   97.3  110.5   67.7   76.1  217.8  294.4  268.6   95.9  137.0  216.6   313.7   275.4   588.3   501.4  1703.6
1986  207.3    7.4  212.8   91.4  224.4   68.0  102.1  132.9   56.1  204.2  290.4  342.6   431.2   528.7   303.0   550.7  1939.7
1987   80.0  101.1  185.3   74.1   79.4  105.7  123.8  167.7  179.4  202.1  129.2  188.0   523.6   338.8   397.2   510.6  1615.8
1988  239.0  159.1  201.9   81.6   63.8   32.3  226.5  215.5  184.3  185.4  110.8  175.8   586.2   347.3   474.4   480.5  1876.1
1989  212.9  239.6  224.3   85.0   44.5   87.0   57.8  238.9  108.2  218.3   70.8  110.8   628.3   353.8   383.7   397.2  1697.9
1990  301.9  330.7  240.2  115.0   62.6  134.2   90.2  138.3  147.1  271.2   89.5  218.6   743.4   417.8   362.6   507.9  2139.5
1991  176.6   94.6  155.2  178.0   30.0  127.8  102.6   83.1  137.0  186.6  257.5  195.2   489.8   363.1   313.4   581.1  1723.9
1992  149.7  213.9  255.7  148.5   86.9   37.4  118.2  267.9  189.7  127.2  244.2  163.0   558.8   491.1   423.5   561.1  2002.3
1993  322.8   63.7  150.8  163.9  128.7   76.7  132.0   85.2   83.7   61.9  109.4  304.5   549.5   443.4   294.0   255.0  1683.3
1994  255.7  113.0  277.1  149.4   36.4  133.2  101.9  140.8   95.5  128.2  190.5  305.5   673.1   463.0   375.8   414.2  1927.1
1995  254.2  236.3  182.3   59.7   85.7   44.5  117.5   35.9  129.3  308.8  121.4   49.1   796.0   327.7   197.9   559.5  1624.7
1996  127.2  175.6   66.9  143.2   89.7   88.9   92.0   68.0   74.3  285.1  208.9   97.2   351.9   299.8   248.8   568.3  1516.9
1997   55.5  301.0  141.5   90.3  101.9   78.9  100.1   66.7  149.5  111.2  149.0  236.0   453.7   333.7   245.7   409.6  1581.5
1998  182.1  222.6  135.6   98.7   57.3  126.5  179.2  186.9   94.5  290.7  211.0  210.7   640.8   291.6   492.6   596.3  1996.0
1999  268.3  153.3  141.5  131.0  122.8  121.3  108.0   81.3  204.0  113.1  220.3  335.1   632.3   395.3   310.6   537.4  2000.0
2000  216.0  234.5  144.8   73.9   66.9   85.9   62.6  136.9  220.0  288.9  179.2  243.6   785.6   285.6   285.4   688.1  1953.2
2001  122.2   96.6   77.2   88.3   40.8  102.2  120.0  128.8  114.7  256.5  168.1  108.1   462.3   206.3   351.0   539.3  1423.4
2002  242.1  290.7  141.5  113.7  148.5  183.0  119.4  105.6   65.1  205.9  211.9   85.5   640.9   403.7   408.1   483.0  1912.9
2003  164.3   81.5   90.6   59.5  157.2   94.7  110.7   49.1  101.5   69.4  221.9  184.2   331.3   307.3   254.5   392.8  1384.7
2004  246.4   95.0  119.7  131.2   67.3  139.6   89.0  220.7  218.4  216.8  127.1  229.3   525.6   318.2   449.3   562.3  1900.6
2005  252.3  104.7  114.9  135.5  136.7  115.4   44.0  146.5  159.6  219.9  153.8  110.6   586.4   387.2   305.8   533.3  1694.0
2006  139.2   94.3  160.3  115.1  138.6   91.6   82.3  105.8  200.3  184.5  314.6  306.9   344.1   414.1   279.7   699.4  1933.5
2007  262.8  141.6  154.3   63.7  122.8  132.5  121.6  148.1  110.9  124.0  153.9  168.2   711.4   340.8   402.2   388.8  1704.4
