East Anglia,England E & NE,England NW & N Wales,England SE & Central South,S Wales & England SW,Midlands,Scotland E,Scotland W,Scotland N,N Ireland
50.7,44.8,84.7,57.3,72.8,39.1,56.8,85.7,66.2,42.2
89.3,94.7,119.4,138.1,142.8,111.9,99.4,108,92.6,145.7
49.8,66.5,97.7,58.2,54.7,70.6,67.6,140.5,106.1,73.1
105.9,92.8,159.8,120.9,181.8,109.9,118.3,126.6,86.7,78.8
98.1,119.3,131,119.1,94.3,91,71,48.7,87.2,68.8
90.7,97.7,121.6,135.8,149.8,84.5,125.8,81.8,108.8,70.5
130.7,133.2,206.5,180.9,299.3,173.1,145.5,187.9,163.4,235.4
51.3,113.2,244.2,92.9,186.7,87.6,260.2,357.6,308.3,188.9
54.9,77.6,149.1,93,133.7,73.3,163.9,220.3,193.9,115.6
50,76.2,34.8,31.6,64.2,28.2,77.7,57.8,83.3,48.3
26.6,40,48.8,37.1,45.5,32.9,46.5,38.7,50,93.4
71.8,41.1,83.9,76.4,81.6,50.9,50.7,81.3,94.7,61.3
35.7,30.9,31.8,52.5,56.9,44.2,29.4,17.7,25.9,14.8
62.6,56.5,102.3,64.3,112,102.7,101.6,97.8,89.2,57.3
116.5,86.7,147,107.8,118.5,89.2,110.4,159.6,107.6,108.7
66.8,47.3,87.1,81.8,96.1,67.9,97.2,92.8,85.1,72.1
47.2,55.4,81.5,60.4,75,58.1,71.8,106.3,131.8,29.9
84.7,89.6,130.9,137.4,139,93,171.5,185.9,194.2,146.4
39.2,41.5,85.1,37.3,98.7,52.5,79.1,134.1,110.7,116.2
19.7,51.2,34.9,14.7,51,25.5,50.6,25.2,40.5,45.2
39.9,80.6,105.1,59.2,131.7,65.5,131.3,153.5,160.6,102.5
24.9,23,65.5,24.8,42.2,27.5,52.1,115.8,146.1,45.3
13.7,19.3,50.1,9.4,28.5,18,48.1,90,117.7,38.7
19.4,15.6,24.4,9.7,12.6,14.2,31.1,34.6,58.8,9.2
81.9,62.6,73.9,87.6,85.7,58.2,95.1,107.6,100.4,70.2
26.5,72,96.6,49.2,77.7,45.4,101.2,137.4,91,103.3
43.8,62.7,82,45.7,103.9,76.9,72.2,98.1,96.8,133.6
71.8,58,103.7,46.6,49,40.3,62.1,106.8,105.5,69
18.3,25.8,70.9,25.7,45.4,30.5,42.5,88,108.3,51.7
62,52.5,98.7,88.6,109.1,46,100.7,169.3,197.7,93.7
50.8,90.3,103.3,50.4,73.1,53,118.2,95.2,130.2,70.5
52.6,62.9,150.6,42.2,85.3,64.3,110.9,232.2,243.2,130
21,24.8,19.8,13.5,12.5,12,44.9,33,76.8,16.2
36.6,58.6,34,36.3,57.3,34.5,48.9,28.6,30.4,68.2
32.5,47.8,76.4,57.1,78.2,46.2,83.9,96.9,102.6,81.1
5.4,17.5,32.8,11.5,20.9,18.7,43.7,74,105.8,49.3
44,40.2,52,57.2,79.3,46.8,46.4,53.2,39.2,76.1
47.6,74.5,107.8,42.9,115.8,67.7,62.5,85.1,74.7,32.1
113.5,97.2,134.4,110.9,98.9,120.3,93.1,87.9,122.6,74.2
47.2,73.6,93.1,37.3,63.7,46.9,113.1,141.5,111.4,91.5
22.7,12,39.3,47,39.9,30.4,22.7,47.3,54.1,62.9
108.8,115.2,171.8,150.9,167.5,127.8,112.3,186.8,146,152.4
57.9,55.4,47.8,40.6,29.2,25,53.1,56.2,48.3,30.3
32.9,42.1,58.3,44,76.6,26.9,77.1,97.2,139.3,71.6
58.5,64.4,94,69.6,123.4,73.5,83.2,84.4,72.1,78.5
27.3,45.6,93.5,34.2,92.4,52.8,111.7,141,126.7,61.2
11.5,8.3,21.9,28.9,44.8,22.4,6.2,13.5,6.9,24.1
37.8,65,70.6,93.9,124.6,62.9,89.8,64.1,61.6,48
69.4,89.6,73.1,92.6,82,76.9,83.1,91.5,53.7,96.3
30,59.3,94.2,38.9,59.7,49.1,104,170.3,158.2,59
52.2,52.1,86.9,37.8,50.7,46.7,77.9,107.7,146.7,59.3
57.9,103.7,120.2,73.3,103,109.7,105.8,128.7,57.4,93.8
72,102,125.4,89.6,109.7,81.1,167.3,88.3,135.2,88.3
47.4,50.2,78.4,66.1,104.1,66.3,52.2,81,48.7,44.4
55.1,40.2,65.5,30.2,46.3,32.2,60.8,65.9,117.8,49.1
40.5,85.7,141.5,75.4,136.6,65.8,120.7,198,166.7,97.6
72.5,74.6,94.4,75.4,113,69.5,89.5,144.1,156.2,100.1
7.4,25.9,79.3,13,67.7,29.7,44.8,99,95.8,59.2
26.1,60.4,98.2,42.4,108.8,52,106,110.2,114.5,106.6
49,66.1,83,50.2,117.6,64,79.9,84.2,58.9,115.6
33,31.8,65.6,31.2,65.8,41.4,56.4,67.4,46.8,38.2
52.7,58,101,54,60.1,66.4,80.4,80.3,63.4,59.7
41.9,55.4,90.8,45.5,86.8,61.7,58.5,93.3,109.7,58.5
69.7,131.6,116.5,71.5,58.4,117.3,54.1,63,74.8,66
91.5,78,88.9,98,83.1,72.4,124.7,100,130,57.5
107.8,49.1,72.3,133.7,138.7,68.1,64,111.4,98.4,51
42.2,51.7,63.6,51,57.4,41.8,95,103.5,100.8,72.2
9.5,18,88.1,19.4,54,20.3,95.3,200.4,206.8,58.8
17.3,20.2,61.5,24.6,46.1,19.3,72.6,145,172.6,61.7
25.2,16.1,18.4,32.1,42.6,21.6,31.5,42.5,44.8,50.3
20.9,29.3,63.8,26.1,49.8,27.7,51.4,73.4,111.9,38.2
47.5,33.9,93.8,66.6,118.1,80.1,49.4,105,50.9,127.7
58.7,52.1,83,53.8,76.3,58.5,84.8,127.3,92.7,85
24.7,39,67.8,18.6,45.8,52.5,54.3,116.2,91.1,36.3
80.1,82.4,81.7,67.3,80.4,48.8,138.4,133.5,146,89
64.3,75.5,87.3,52.6,72.6,68.3,77.1,111.9,77.3,76.5
28.1,69.3,133.2,41.6,103.6,66.8,80.9,124.1,91,61
53.6,83.4,140.6,51.8,119.9,86.6,125.3,177.6,142.8,73.2
28.5,51.9,52.8,32.2,73.3,25.6,72.1,58.9,55.4,39.1
43.7,53.6,122,69.5,132.9,60.6,122.2,192.3,142,145.6
19,38.1,109.3,42.4,91.4,37.4,114.5,194.5,187.2,93.1
31.8,37,86,50.7,73.6,44.4,82.3,161.1,157.4,67.7
33.7,53.7,149.6,43.9,102.6,62.4,105.6,188,185.1,91.8
63.1,72.2,108.6,66.5,101.6,73.1,99.4,124.8,115.8,82.6
39,15.2,16.2,47.4,41,29.1,5.7,12.5,10.3,8.9
63.7,59.5,62.2,56,50.3,64,63.7,56.7,54.9,41.9
67,59.4,83.5,64.9,64.6,55.6,71.6,94.1,80.4,65.6
61.3,66.5,127.1,59.7,124.3,89.1,59,128.3,101.4,90.6
74,81.2,152,98.9,161.8,83.7,82.5,168.8,132.2,121.8
79,72.6,109.1,100.4,128.8,75.7,144.4,105.3,185.9,56.9
47.2,62.2,112.2,95.9,130,71.1,111.9,126.3,113.3,90.6
59.7,70.8,118.3,92.3,133.9,65.9,112.9,133.7,162.4,88.4
62.5,94.3,150.3,91.7,162.7,88.4,118.2,187.3,95.5,142.8
36.8,46.3,50.3,32,50.1,28.6,74.5,126,95.8,57.7
57.1,67,127.7,58.5,106.5,65.6,94.7,152.2,159.2,95.6
27.8,27.2,50.8,45.4,57.2,29.4,30,51.6,60.4,50.6
92.5,73.7,92.3,82.9,102.5,79.6,51.4,99.2,85.5,101.4
119.7,110.7,167.1,144.2,214,136.5,144.2,137,99.7,168
51.2,67.6,58.5,62.4,72.1,48.5,65.8,66.9,63,51.2
98.7,98.6,181.7,115.5,206.9,127.6,107.2,141.9,128.1,131.3
68.6,61.6,70.5,90.5,86.9,69.4,40.2,70.1,99.5,41.1
41.5,68.2,171.7,54.4,105.4,63.4,112.4,216.9,225.6,83.1
62.7,83.3,72.4,75.3,101.2,68.4,105.7,64.3,71.1,49.7
51.9,92.6,99.4,79.9,150.4,75.2,137.4,86,77.2,68.7
25,30.8,49.2,16.5,48.3,21.9,75.8,145.4,99.6,75.3
51.3,74.9,121.2,51.1,112.6,72.7,87.7,139,113.1,60.7
49.7,63.5,147.5,66.7,108.8,87.1,107.7,203.1,205.3,127.2
23.3,32.1,31,18.8,19.9,29,33.6,17.8,29,21.6
29.8,25.5,32.2,39.8,35.8,27.7,38.8,44.8,65.3,21.1
47.6,70.7,78.6,69.1,94.9,67.8,75.8,87.4,71.2,95
