Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1948  166.7   97.1   64.0   65.2   78.2  135.1   82.5  208.1  101.7  111.4   62.2  153.9   328.8   207.4   425.8   275.2  1326.0
1949   90.4   78.8   55.9   72.3   62.6   40.5   59.1  109.2   50.9  135.0  119.3  147.8   323.1   190.8   208.8   305.2  1021.8
1950   71.4  115.3   81.4   85.0   46.3   52.7  122.1  115.6  199.4   74.7  120.9   65.1   334.5   212.7   290.4   395.1  1150.0
1951  115.3  104.7   83.2   96.0   54.8   57.2  100.0  134.0   64.9   29.0  231.8  118.4   285.2   234.0   291.2   325.8  1189.3
1952   85.1   36.0   85.1   54.6   66.2   77.9   60.0  106.2   66.0  113.5   88.8  109.4   239.4   205.9   244.2   268.3   948.8
1953   42.8   44.8   22.5   82.6   68.8   73.5  126.4   69.8  107.6   61.9  118.5  114.1   197.0   173.9   269.7   288.0   933.4
1954   86.6   91.3   79.9   37.2  139.6   73.2   79.7  113.4  107.0  190.0  183.9  155.7   292.0   256.7   266.4   480.9  1337.5
1955   62.2   84.0   52.0   36.0   80.6   41.2   32.5   27.0   66.0  100.5   57.3  185.4   301.9   168.5   100.8   223.8   824.7
1956   97.6   59.9   59.1   38.0   40.8   82.9  134.4  170.5  125.4   82.4   46.0  151.3   342.9   137.9   387.7   253.9  1088.4
1957  133.0  102.5   88.7   39.6   56.8   54.6  141.1  134.0   71.2   75.8   55.5  139.6   386.8   185.1   329.8   202.5  1092.4
1958  101.6   90.5   82.6   53.9   88.2   84.5  151.2  115.6   98.0   77.2   32.4  153.9   331.8   224.7   351.2   207.6  1129.6
1959   70.0   25.6   62.8   84.8   32.9   70.5   96.2   34.7   25.7  117.7  177.1  180.8   249.6   180.5   201.3   320.4   978.7
1960  125.0  110.0   58.6   87.3   55.0   55.3   95.1  138.5   77.1  174.5  135.1  101.2   415.8   200.8   289.0   386.7  1212.7
1961  108.5   90.4   44.2   87.9   47.2   40.9   95.5  119.5  113.5  148.5   72.2  101.3   300.0   179.3   255.9   334.2  1069.5
1962  155.2   79.0   52.4   60.5   63.9   48.0   92.4  145.7  150.6   46.1   98.5  117.7   335.5   176.9   286.2   295.3  1110.1
1963   54.1   52.2  135.5   78.8   80.7  102.1   67.4  156.6   93.9   84.8  195.5   46.4   224.0   295.0   326.2   374.2  1148.1
1964   41.8   42.2   94.2   75.4   68.5   71.6   51.3  125.1   92.9   63.8   65.3  113.4   130.5   238.1   248.0   222.0   905.7
1965  107.2   31.3   67.9   80.4   73.5   88.9  109.2   77.6  152.4   93.7  102.3  108.3   252.0   221.8   275.7   348.5  1092.8
1966   74.4  121.6   64.4   76.9   90.3  139.8   52.3  127.6   77.8  125.5  107.7  140.7   304.3   231.6   319.7   311.0  1199.0
1967  104.6  116.0  108.7   46.7  149.1   46.6   68.8   77.4  107.0  167.9   89.2   63.5   361.4   304.6   192.8   364.1  1145.6
1968   82.5   65.4   79.2   77.6  119.5   47.9  111.8   54.5  107.9  151.3   75.0   86.0   211.3   276.3   214.2   334.3  1058.6
1969  127.8   74.5   48.7   68.3  134.2   81.7   48.5   73.3   67.5   58.5  117.5   84.6   288.2   251.2   203.5   243.5   985.1
1970  125.1   99.9   57.1   71.4   48.8   63.4  119.2  115.6  102.7  100.7  140.9   61.3   309.6   177.2   298.2   344.3  1106.1
